EventGroupName,transect,LocationID,Dead,Unrooted,HitsInQuadrat,family,genus,species,nativity
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,2,POACEAE,Danthonia,californica,NATIVE
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,4,POACEAE,Briza,maxima,NATURALIZED
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,37,POACEAE,Brachypodium,distachyon,NATURALIZED
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,12,PLANTAGINACEAE,Plantago,lanceolata,NATURALIZED
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,7,PLANTAGINACEAE,Plantago,erecta,NATIVE
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,4,ASTERACEAE,Hypochaeris,radicata,NATURALIZED
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,1,POACEAE,Stipa,pulchra,NATIVE
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,30,UNKNOWN MONOCOT,UNKNOWN MONOCOT,UNKNOWN MONOCOT,UNKNOWN
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,4,POACEAE,AVENA,UNKNOWN AVENA,NATURALIZED
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,6,UNKNOWN FLOX,UNKNOWN FLOX,UNKNOWN FLOX,UNKNOWN
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,1,FABACEAE,UNKNOWN FABACEAE,UNKNOWN FABACEAE,UNKNOWN
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,9,POACEAE,UNKNOWN POACEAE,UNKNOWN POACEAE,UNKNOWN
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,1,POACEAE,UNKNOWN POACEAE,UNKNOWN POACEAE,UNKNOWN
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,0,POACEAE,UNKNOWN POACEAE,UNKNOWN POACEAE,UNKNOWN
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,1,POACEAE,UNKNOWN POACEAE,UNKNOWN POACEAE,UNKNOWN
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,4,ASTERACEAE,Baccharis,pilularis,NATIVE
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,4,LITTER,LITTER,LITTER,NOTPLANT
Spring_2020,A,MGP_01_HWY,FALSE,FALSE,0,BARE GROUND,BARE GROUND,BARE GROUND,NOTPLANT
